query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
26a,0.5309,3176.7999999999997,526771.2,it-mi_idx cc-mi_idx cc-cct1 cc-cct2 cc-t kt-t cc-ci chn-ci cc-mk ci-n k-mk,HJ-mi_idx-it INL-cc-it mi_idx HJ-cc it mi_idx-cct1 HJ-cc cct1 it mi_idx-cct2 INL-t-cc cct1 cct2 it mi_idx INL-cc cct1 cct2 it mi_idx t-kt INL-ci-cc cct1 cct2 it kt mi_idx t INL-chn-cc cct1 cct2 ci it kt mi_idx t INL-mk-cc cct1 cct2 chn ci it kt mi_idx t INL-n-cc cct1 cct2 chn ci it kt mi_idx mk t INL-k-cc cct1 cct2 chn ci it kt mi_idx mk n t
26b,0.54052,635.4000000000001,117355.40000000001,it-mi_idx cc-mi_idx cc-cct1 cc-cct2 cc-t kt-t cc-ci chn-ci cc-mk ci-n k-mk,HJ-mi_idx-it INL-cc-it mi_idx HJ-cc it mi_idx-cct1 HJ-cc cct1 it mi_idx-cct2 INL-t-cc cct1 cct2 it mi_idx INL-cc cct1 cct2 it mi_idx t-kt INL-ci-cc cct1 cct2 it kt mi_idx t INL-chn-cc cct1 cct2 ci it kt mi_idx t INL-mk-cc cct1 cct2 chn ci it kt mi_idx t INL-n-cc cct1 cct2 chn ci it kt mi_idx mk t INL-k-cc cct1 cct2 chn ci it kt mi_idx mk n t
26c,0.51833,92041.0,4608279.6,cc-cct1 cc-cct2 cc-t kt-t cc-mi_idx it-mi_idx cc-ci chn-ci ci-n cc-mk k-mk,HJ-cc-cct1 HJ-cc cct1-cct2 INL-t-cc cct1 cct2 HJ-cc cct1 cct2 t-kt INL-mi_idx-cc cct1 cct2 kt t HJ-cc cct1 cct2 kt mi_idx t-it INL-ci-cc cct1 cct2 it kt mi_idx t INL-chn-cc cct1 cct2 ci it kt mi_idx t INL-n-cc cct1 cct2 chn ci it kt mi_idx t INL-mk-cc cct1 cct2 chn ci it kt mi_idx n t HJ-cc cct1 cct2 chn ci it kt mi_idx mk n t-k
33a,0.58311,11747.000000000002,18312.400000000005,lt-ml ml-t1 kt1-t1 mi_idx1-ml it1-mi_idx1 ml-t2 kt2-t2 mc1-mi_idx1 cn1-mc1 mi_idx2-ml it2-mi_idx2 mc2-mi_idx2 cn2-mc2,HJ-ml-lt INL-t1-lt ml HJ-lt ml t1-kt1 INL-mi_idx1-kt1 lt ml t1 HJ-kt1 lt mi_idx1 ml t1-it1 INL-t2-it1 kt1 lt mi_idx1 ml t1 INL-it1 kt1 lt mi_idx1 ml t1 t2-kt2 INL-mc1-it1 kt1 kt2 lt mi_idx1 ml t1 t2 INL-cn1-it1 kt1 kt2 lt mc1 mi_idx1 ml t1 t2 INL-mi_idx2-cn1 it1 kt1 kt2 lt mc1 mi_idx1 ml t1 t2 INL-cn1 it1 kt1 kt2 lt mc1 mi_idx1 mi_idx2 ml t1 t2-it2 INL-mc2-cn1 it1 it2 kt1 kt2 lt mc1 mi_idx1 mi_idx2 ml t1 t2 INL-cn2-cn1 it1 it2 kt1 kt2 lt mc1 mc2 mi_idx1 mi_idx2 ml t1 t2
33b,0.53029,11747.000000000002,25547.600000000002,lt-ml ml-t1 kt1-t1 mi_idx1-ml it1-mi_idx1 ml-t2 kt2-t2 mc1-mi_idx1 cn1-mc1 mc2-ml cn2-mc2 mc2-mi_idx2 it2-mi_idx2,HJ-ml-lt INL-t1-lt ml HJ-lt ml t1-kt1 INL-mi_idx1-kt1 lt ml t1 HJ-kt1 lt mi_idx1 ml t1-it1 INL-t2-it1 kt1 lt mi_idx1 ml t1 INL-it1 kt1 lt mi_idx1 ml t1 t2-kt2 INL-mc1-it1 kt1 kt2 lt mi_idx1 ml t1 t2 INL-cn1-it1 kt1 kt2 lt mc1 mi_idx1 ml t1 t2 INL-mc2-cn1 it1 kt1 kt2 lt mc1 mi_idx1 ml t1 t2 INL-cn2-cn1 it1 kt1 kt2 lt mc1 mc2 mi_idx1 ml t1 t2 INL-mi_idx2-cn1 cn2 it1 kt1 kt2 lt mc1 mc2 mi_idx1 ml t1 t2 INL-cn1 cn2 it1 kt1 kt2 lt mc1 mc2 mi_idx1 mi_idx2 ml t1 t2-it2
33c,0.54105,12487.800000000001,37100.8,lt-ml ml-t1 kt1-t1 mi_idx1-ml it1-mi_idx1 ml-t2 kt2-t2 mi_idx2-ml it2-mi_idx2 mc1-mi_idx1 cn1-mc1 mc2-mi_idx2 cn2-mc2,HJ-ml-lt INL-t1-lt ml HJ-lt ml t1-kt1 INL-mi_idx1-kt1 lt ml t1 HJ-kt1 lt mi_idx1 ml t1-it1 INL-t2-it1 kt1 lt mi_idx1 ml t1 HJ-it1 kt1 lt mi_idx1 ml t1 t2-kt2 INL-mi_idx2-it1 kt1 kt2 lt mi_idx1 ml t1 t2 HJ-it1 kt1 kt2 lt mi_idx1 mi_idx2 ml t1 t2-it2 INL-mc1-it1 it2 kt1 kt2 lt mi_idx1 mi_idx2 ml t1 t2 INL-cn1-it1 it2 kt1 kt2 lt mc1 mi_idx1 mi_idx2 ml t1 t2 INL-mc2-cn1 it1 it2 kt1 kt2 lt mc1 mi_idx1 mi_idx2 ml t1 t2 INL-cn2-cn1 it1 it2 kt1 kt2 lt mc1 mc2 mi_idx1 mi_idx2 ml t1 t2
27a,0.55364,172.39999999999998,951272.4,k-mk mi-mk cc-mi cc-cct2 cc-cct1 cc-mc cc-ml cc-t cn-mc ct-mc lt-ml,INL-mk-k INL-mi-k mk INL-cc-k mi mk HJ-cc k mi mk-cct2 INL-cct1-cc cct2 k mi mk INL-mc-cc cct1 cct2 k mi mk INL-ml-cc cct1 cct2 k mc mi mk INL-t-cc cct1 cct2 k mc mi mk ml INL-cn-cc cct1 cct2 k mc mi mk ml t INL-cc cct1 cct2 cn k mc mi mk ml t-ct INL-cc cct1 cct2 cn ct k mc mi mk ml t-lt
27b,0.5171,172.39999999999998,949550.4,k-mk mi-mk cc-mi cc-cct2 cc-cct1 cc-mc cc-ml cc-t cn-mc ct-mc lt-ml,INL-mk-k INL-mi-k mk INL-cc-k mi mk HJ-cc k mi mk-cct2 INL-cct1-cc cct2 k mi mk INL-mc-cc cct1 cct2 k mi mk INL-ml-cc cct1 cct2 k mc mi mk INL-t-cc cct1 cct2 k mc mi mk ml INL-cn-cc cct1 cct2 k mc mi mk ml t INL-cc cct1 cct2 cn k mc mi mk ml t-ct INL-cc cct1 cct2 cn ct k mc mi mk ml t-lt
27c,0.54767,154.39999999999998,945962.8,k-mk mk-ml lt-ml cc-mk cc-cct1 cc-cct2 cc-mc cc-mi cc-t cn-mc ct-mc,INL-mk-k INL-ml-k mk HJ-k mk ml-lt INL-cc-k lt mk ml INL-cc k lt mk ml-cct1 INL-cc cct1 k lt mk ml-cct2 INL-mc-cc cct1 cct2 k lt mk ml INL-mi-cc cct1 cct2 k lt mc mk ml INL-t-cc cct1 cct2 k lt mc mi mk ml INL-cn-cc cct1 cct2 k lt mc mi mk ml t INL-cc cct1 cct2 cn k lt mc mi mk ml t-ct
28a,0.55839,41.4,47048.2,it2-mi_idx cc-mi_idx cc-cct1 cc-cct2 cc-mc cc-mi cc-t cn-mc ct-mc it1-mi kt-t cc-mk k-mk,HJ-mi_idx-it2 INL-cc-it2 mi_idx INL-cc it2 mi_idx-cct1 INL-cct2-cc cct1 it2 mi_idx INL-mc-cc cct1 cct2 it2 mi_idx INL-mi-cc cct1 cct2 it2 mc mi_idx INL-t-cc cct1 cct2 it2 mc mi mi_idx INL-cn-cc cct1 cct2 it2 mc mi mi_idx t INL-ct-cc cct1 cct2 cn it2 mc mi mi_idx t INL-cc cct1 cct2 cn ct it2 mc mi mi_idx t-it1 INL-kt-cc cct1 cct2 cn ct it1 it2 mc mi mi_idx t INL-mk-cc cct1 cct2 cn ct it1 it2 kt mc mi mi_idx t HJ-k-cc cct1 cct2 cn ct it1 it2 kt mc mi mi_idx mk t
28b,0.56409,2885.4,53180.399999999994,it2-mi_idx cc-mi_idx cc-cct1 cc-cct2 cc-mc cc-mi cc-t cn-mc ct-mc it1-mi kt-t cc-mk k-mk,HJ-mi_idx-it2 INL-cc-it2 mi_idx HJ-cc it2 mi_idx-cct1 HJ-cc cct1 it2 mi_idx-cct2 INL-mc-cc cct1 cct2 it2 mi_idx INL-mi-cc cct1 cct2 it2 mc mi_idx INL-t-cc cct1 cct2 it2 mc mi mi_idx INL-cn-cc cct1 cct2 it2 mc mi mi_idx t INL-ct-cc cct1 cct2 cn it2 mc mi mi_idx t INL-cc cct1 cct2 cn ct it2 mc mi mi_idx t-it1 INL-kt-cc cct1 cct2 cn ct it1 it2 mc mi mi_idx t INL-mk-cc cct1 cct2 cn ct it1 it2 kt mc mi mi_idx t INL-k-cc cct1 cct2 cn ct it1 it2 kt mc mi mi_idx mk t
28c,0.52712,37.6,8880.0,it2-mi_idx cc-mi_idx cc-cct1 cc-cct2 cc-mc cc-mi cc-t cn-mc ct-mc it1-mi kt-t cc-mk k-mk,HJ-mi_idx-it2 INL-cc-it2 mi_idx INL-cc it2 mi_idx-cct1 INL-cc cct1 it2 mi_idx-cct2 INL-mc-cc cct1 cct2 it2 mi_idx INL-mi-cc cct1 cct2 it2 mc mi_idx INL-t-cc cct1 cct2 it2 mc mi mi_idx INL-cn-cc cct1 cct2 it2 mc mi mi_idx t INL-ct-cc cct1 cct2 cn it2 mc mi mi_idx t INL-cc cct1 cct2 cn ct it2 mc mi mi_idx t-it1 INL-kt-cc cct1 cct2 cn ct it1 it2 mc mi mi_idx t INL-mk-cc cct1 cct2 cn ct it1 it2 kt mc mi mi_idx t INL-k-cc cct1 cct2 cn ct it1 it2 kt mc mi mi_idx mk t
29a,0.54108,27056.600000000002,6659612.2,cc-t cc-cct1 cc-cct2 cc-ci an-ci an-n cc-mc cc-mi cc-mk chn-ci ci-pi ci-rt cn-mc it1-mi it2-pi k-mk,HJ-cc-t INL-cc t-cct1 INL-cc cct1 t-cct2 INL-ci-cc cct1 cct2 t INL-an-cc cct1 cct2 ci t INL-n-an cc cct1 cct2 ci t INL-mc-an cc cct1 cct2 ci n t INL-mi-an cc cct1 cct2 ci mc n t INL-mk-an cc cct1 cct2 ci mc mi n t INL-an cc cct1 cct2 ci mc mi mk n t-chn INL-pi-an cc cct1 cct2 chn ci mc mi mk n t INL-an cc cct1 cct2 chn ci mc mi mk n pi t-rt INL-cn-an cc cct1 cct2 chn ci mc mi mk n pi rt t INL-an cc cct1 cct2 chn ci cn mc mi mk n pi rt t-it1 INL-an cc cct1 cct2 chn ci cn it1 mc mi mk n pi rt t-it2 INL-an cc cct1 cct2 chn ci cn it1 it2 mc mi mk n pi rt t-k
29b,0.54951,27051.800000000003,3604174.0000000005,cc-t cc-cct1 cc-cct2 cc-ci an-ci an-n cc-mc cc-mi cc-mk chn-ci ci-pi ci-rt cn-mc it1-mi it2-pi k-mk,HJ-cc-t INL-cc t-cct1 INL-cc cct1 t-cct2 INL-ci-cc cct1 cct2 t INL-an-cc cct1 cct2 ci t INL-n-an cc cct1 cct2 ci t INL-mc-an cc cct1 cct2 ci n t INL-mi-an cc cct1 cct2 ci mc n t INL-mk-an cc cct1 cct2 ci mc mi n t INL-an cc cct1 cct2 ci mc mi mk n t-chn INL-pi-an cc cct1 cct2 chn ci mc mi mk n t INL-an cc cct1 cct2 chn ci mc mi mk n pi t-rt INL-cn-an cc cct1 cct2 chn ci mc mi mk n pi rt t INL-an cc cct1 cct2 chn ci cn mc mi mk n pi rt t-it1 INL-an cc cct1 cct2 chn ci cn it1 mc mi mk n pi rt t-it2 INL-an cc cct1 cct2 chn ci cn it1 it2 mc mi mk n pi rt t-k
29c,0.55307,88028.0,40783919.800000004,cc-cct1 cc-cct2 cc-ci ci-rt cc-mi it1-mi cc-t chn-ci ci-n an-ci cc-mc cc-mk ci-pi cn-mc it2-pi k-mk,HJ-cc-cct1 HJ-cc cct1-cct2 INL-ci-cc cct1 cct2 HJ-cc cct1 cct2 ci-rt INL-mi-cc cct1 cct2 ci rt HJ-cc cct1 cct2 ci mi rt-it1 INL-t-cc cct1 cct2 ci it1 mi rt INL-chn-cc cct1 cct2 ci it1 mi rt t INL-n-cc cct1 cct2 chn ci it1 mi rt t INL-an-cc cct1 cct2 chn ci it1 mi n rt t INL-mc-an cc cct1 cct2 chn ci it1 mi n rt t INL-mk-an cc cct1 cct2 chn ci it1 mc mi n rt t INL-pi-an cc cct1 cct2 chn ci it1 mc mi mk n rt t INL-cn-an cc cct1 cct2 chn ci it1 mc mi mk n pi rt t INL-an cc cct1 cct2 chn ci cn it1 mc mi mk n pi rt t-it2 INL-an cc cct1 cct2 chn ci cn it1 it2 mc mi mk n pi rt t-k
30a,0.5302,18854.600000000006,297404.0,it1-mi cc-mi cc-cct2 cc-cct1 cc-ci cc-t ci-n cc-mi_idx it2-mi_idx cc-mk k-mk,HJ-mi-it1 INL-cc-it1 mi HJ-cc it1 mi-cct2 HJ-cc cct2 it1 mi-cct1 INL-ci-cc cct1 cct2 it1 mi INL-t-cc cct1 cct2 ci it1 mi INL-n-cc cct1 cct2 ci it1 mi t INL-mi_idx-cc cct1 cct2 ci it1 mi n t HJ-cc cct1 cct2 ci it1 mi mi_idx n t-it2 INL-mk-cc cct1 cct2 ci it1 it2 mi mi_idx n t HJ-k-cc cct1 cct2 ci it1 it2 mi mi_idx mk n t
30b,0.54759,16911.2,29324.4,mi-t it1-mi cc-mi cc-cct1 cc-cct2 cc-ci cc-mi_idx cc-mk ci-n it2-mi_idx k-mk,HJ-mi-t HJ-mi t-it1 INL-cc-it1 mi t INL-cct1-cc it1 mi t INL-cc cct1 it1 mi t-cct2 INL-ci-cc cct1 cct2 it1 mi t INL-mi_idx-cc cct1 cct2 ci it1 mi t INL-mk-cc cct1 cct2 ci it1 mi mi_idx t INL-n-cc cct1 cct2 ci it1 mi mi_idx mk t INL-cc cct1 cct2 ci it1 mi mi_idx mk n t-it2 INL-k-cc cct1 cct2 ci it1 it2 mi mi_idx mk n t
30c,0.54492,44567.59999999999,1220657.5999999999,it1-mi cc-mi cc-cct1 cc-cct2 cc-ci cc-t ci-n cc-mi_idx it2-mi_idx cc-mk k-mk,HJ-mi-it1 INL-cc-it1 mi HJ-cc it1 mi-cct1 HJ-cc cct1 it1 mi-cct2 INL-ci-cc cct1 cct2 it1 mi INL-t-cc cct1 cct2 ci it1 mi INL-n-cc cct1 cct2 ci it1 mi t INL-mi_idx-cc cct1 cct2 ci it1 mi n t HJ-cc cct1 cct2 ci it1 mi mi_idx n t-it2 INL-mk-cc cct1 cct2 ci it1 it2 mi mi_idx n t HJ-k-cc cct1 cct2 ci it1 it2 mi mi_idx mk n t
31a,0.54612,24133.4,755954.2,it1-mi mi-t ci-mi ci-n ci-mc cn-mc ci-mi_idx it2-mi_idx ci-mk k-mk,HJ-mi-it1 INL-t-it1 mi INL-ci-it1 mi t INL-n-ci it1 mi t INL-mc-ci it1 mi n t HJ-ci it1 mc mi n t-cn INL-mi_idx-ci cn it1 mc mi n t INL-ci cn it1 mc mi mi_idx n t-it2 INL-mk-ci cn it1 it2 mc mi mi_idx n t HJ-k-ci cn it1 it2 mc mi mi_idx mk n t
31b,0.55362,65.2,30649.000000000004,cn-mc ci-mc ci-mi ci-mi_idx ci-n ci-t ci-mk it1-mi it2-mi_idx k-mk,HJ-mc-cn INL-ci-cn mc INL-mi-ci cn mc INL-mi_idx-ci cn mc mi INL-n-ci cn mc mi mi_idx INL-t-ci cn mc mi mi_idx n INL-mk-ci cn mc mi mi_idx n t INL-ci cn mc mi mi_idx mk n t-it1 INL-ci cn it1 mc mi mi_idx mk n t-it2 INL-k-ci cn it1 it2 mc mi mi_idx mk n t
31c,0.52868,63667.799999999996,2203300.9999999995,it1-mi mi-t ci-mi ci-n ci-mc cn-mc ci-mi_idx it2-mi_idx ci-mk k-mk,HJ-mi-it1 INL-t-it1 mi INL-ci-it1 mi t INL-n-ci it1 mi t INL-mc-ci it1 mi n t HJ-ci it1 mc mi n t-cn INL-mi_idx-ci cn it1 mc mi n t HJ-ci cn it1 mc mi mi_idx n t-it2 INL-mk-ci cn it1 it2 mc mi mi_idx n t HJ-ci cn it1 it2 mc mi mi_idx mk n t-k
