query complexity,exhaustive,kruskal,prim,ensemble,goo
Simple,370.54499999999996,383.416,392.9749999999999,405.6359999999999,402.386
Moderate,1184.0070000000003,1181.445,1209.465,1218.295,1221.8
Complex,539.273,541.358,523.155,549.3860000000001,543.295
TOTAL,2093.8250000000003,2106.219,2125.595,2173.317,2167.4809999999998
