query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,0.17753,0.52668,0.51248,0.49821,0.51696,1.0294400000000001,0.51533
1b,0.17601,0.53595,0.53112,0.5179,0.53872,1.0698400000000001,0.53169
1c,0.17567,0.53052,0.52827,0.51364,0.53128,1.05955,0.52992
1d,0.17107,0.53695,0.53596,0.51347,0.53836,1.07432,0.54641
2a,0.17279,0.52036,0.51992,0.49596,0.52051,1.0404300000000002,0.51474
2b,0.17781,0.5337,0.52265,0.50588,0.52682,1.04947,0.5208
2c,0.17223,0.54625,0.5243,0.50989,0.53785,1.06215,0.52536
2d,0.17354,0.53909,0.5293,0.51543,0.53491,1.06421,0.53349
3a,0.1727,0.55337,0.53035,0.51517,0.55394,1.08429,0.5313
3b,0.18083,0.52547,0.50688,0.49289,0.56108,1.06796,0.51336
3c,0.17647,0.54905,0.51823,0.50186,0.55022,1.06845,0.53579
4a,0.18838,0.53381,0.52919,0.51129,0.55163,1.0808200000000001,0.52451
4b,0.17166,0.56356,0.5324,0.51158,0.54894,1.08134,0.53428
4c,0.16906,0.51986,0.51713,0.49644,0.54951,1.06664,0.51502
5a,0.17493,0.53098,0.52823,0.50724,0.55271,1.08094,0.53535
5b,0.17009,0.53401,0.53136,0.50463,0.56236,1.09372,0.53596
5c,0.17647,0.5388,0.52836,0.51345,0.55367,1.08203,0.54085
6a,0.18358,0.53248,0.52433,0.49116,0.54694,1.07127,0.52526
6b,0.17291,0.54064,0.53757,0.51079,0.55431,1.09188,0.52616
6c,0.16865,0.54992,0.59644,0.50474,0.55292,1.14936,0.54153
6d,0.17324,0.54338,0.52959,0.51555,0.57172,1.10131,0.61624
6e,0.17463,0.52702,0.55288,0.48967,0.54517,1.0980500000000002,0.5162
6f,0.17444,0.54267,0.52577,0.50557,0.54424,1.07001,0.52546
8a,0.19328,0.54258,0.53478,0.50584,0.56485,1.0996299999999999,0.53008
8b,0.18389,0.55187,0.54501,0.51236,0.5639,1.1089099999999998,0.54134
8c,0.19428,0.5521,0.53528,0.51383,0.55883,1.0941100000000001,0.53916
8d,0.19878,0.53737,0.51847,0.53308,0.54496,1.0634299999999999,0.51139
9a,0.20468,0.53794,0.54077,0.5235,0.55168,1.6441299999999999,0.52433
9b,0.21409,0.5475,0.53894,0.53328,0.55179,1.64252,0.54572
9c,0.19927,0.56972,0.54583,0.53106,0.55874,1.10457,0.53749
9d,0.18751,0.53508,0.52015,0.521,0.53102,1.58219,0.52995
10a,0.17486,0.53503,0.53624,0.53795,0.54575,1.62774,0.53557
10b,0.18265,0.54785,0.53695,0.56565,0.55245,1.0894,0.54005
10c,0.21749,0.6083,0.54832,0.59814,0.56029,1.6689,0.53656
17a,0.17728,0.523,0.51793,0.51916,0.5429,1.0608300000000002,0.51279
17b,0.17739,0.53482,0.5425,0.52265,0.55809,1.10059,0.52944
