query complexity,exhaustive,kruskal,prim,ensemble,goo
Simple,446.218,414.12999999999994,416.715,436.8279999999999,421.13300000000004
Moderate,1254.6020000000003,1291.7980000000005,1249.3709999999999,1268.37,1281.0460000000003
Complex,555.6830000000001,569.3339999999998,554.02,570.829,558.718
TOTAL,2256.5030000000006,2275.262,2220.1059999999998,2276.027,2260.8970000000004
