query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,0.7110489999999999,0.7031459999999999,0.711741,0.716336,0.716341,0.711741,0.72965
1b,0.8878579999999999,0.872425,0.88107,0.90173,0.900569,0.88107,0.89766
1c,1.058471,1.0349949999999999,1.083791,1.0880750000000001,1.079755,1.083791,1.0567460000000002
1d,0.908569,0.894995,0.919418,0.897783,0.901957,0.919418,0.907978
2a,3.378879,3.422214,3.438906,3.3886350000000003,3.382071,3.438906,2.287309
2b,3.414071,3.458197,3.291302,3.356038,3.30552,3.291302,2.274804
2c,3.3428310000000003,3.352116,3.2929679999999997,3.2987260000000003,3.383495,3.2929679999999997,2.2577040000000004
2d,3.4537199999999997,3.44716,3.419973,3.3888730000000002,3.3525479999999996,3.419973,2.248014
3a,3.158656,2.036991,3.146738,2.1479679999999997,3.1466030000000003,3.146738,1.981202
3b,1.532278,1.5411949999999999,1.46531,1.5045650000000002,1.5324659999999999,1.46531,1.301596
3c,2.287951,2.297158,2.28383,2.305455,2.260737,2.28383,2.2568
4a,0.873198,0.8998379999999999,0.8658020000000001,0.947918,0.883506,0.8658020000000001,1.013336
4b,0.841554,0.8012809999999999,0.8044840000000001,0.804683,0.863228,0.8044840000000001,0.826052
4c,0.987441,0.990328,0.945052,0.952646,0.9783529999999999,0.945052,1.059799
5a,1.4603989999999998,1.361393,1.4344169999999998,1.4467480000000001,1.468376,1.4344169999999998,1.368453
5b,1.870296,1.838561,1.859095,1.8474220000000001,1.839894,1.859095,1.877084
5c,2.002881,2.023133,1.975288,1.995106,1.996059,1.975288,2.0023530000000003
6a,8.794177,8.798907999999999,8.766563,8.758172,8.776907,8.766563,9.221027
6b,9.680389,10.034381,9.990124,9.90854,9.974677999999999,9.990124,9.936565
6c,9.518085,9.871204,9.749488999999999,9.885916,9.929022000000002,9.749488999999999,9.812449
6d,8.467806000000001,8.842884,8.820903,8.806556,8.835876,8.820903,9.287449
