query complexity,exhaustive,kruskal,prim,ensemble,goo
Simple,1.0,1.375054907008315,2.2956876067508687,1.305871445592614,2.360365396904208
Moderate,1.0,1.0740934092638528,1.465962547118552,1.0527227893212432,8.894720325723318
Complex,1.0,1.789476481806617,1.8782607098798958,1.233208715108855,152.8682577011593
TOTAL,1.0,1.274158866972726,1.9928975972853789,1.2143538814366925,7.0692298232528445
