query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,3.299,4.828,3.347,3.208,3.361,3.347,3.444
1b,3.346,3.319,3.452,3.37,3.373,3.452,3.498
1c,3.397,3.341,4.823,3.361,3.324,4.823,3.504
1d,3.324,4.783,3.364,3.325,3.356,3.364,3.464
2a,3.808,3.734,5.018,3.776,5.451,5.018,4.356
2b,3.791,3.794,5.342,3.778,3.872,5.342,3.505
2c,3.544,3.688,4.6,3.55,5.204,4.6,3.606
2d,3.788,3.758,3.811,3.821,5.444,3.811,3.521
3a,2.664,3.867,3.771,3.013,3.79,3.771,2.501
3b,2.821,3.1,2.901,3.432,2.834,2.901,2.432
3c,2.696,2.723,2.767,3.935,2.622,2.767,2.769
4a,3.225,3.313,3.289,3.288,3.286,3.289,3.379
4b,3.377,3.365,4.924,3.405,3.35,4.924,3.392
4c,3.338,3.363,3.415,3.357,3.342,3.415,3.379
5a,4.058,3.316,4.072,3.566,4.046,4.072,3.33
5b,3.521,3.617,3.528,3.607,3.548,3.528,3.669
5c,3.53,3.529,3.463,3.58,3.531,3.463,3.707
6a,3.374,3.401,3.362,3.396,3.373,3.362,3.622
6b,3.451,3.411,3.344,3.409,3.421,3.344,3.516
6c,4.882,3.325,3.339,3.331,3.297,3.339,3.327
6d,5.131,3.462,3.51,3.531,3.556,3.51,3.672
6e,4.998,3.393,3.427,3.356,3.378,3.427,3.593
6f,5.245,3.653,3.609,3.634,3.611,3.609,3.593
8a,19.098,15.035,15.205,15.066,15.698,15.205,15.152
8b,24.293,17.505,18.96,17.594,17.746,18.96,14.249
8c,15.221,12.769,19.644,12.164,14.054,19.644,14.615
8d,13.003,12.849,13.54,12.272,13.916,13.54,14.641
9a,24.174,19.479,19.123,19.482,19.228,19.228,18.602
9b,25.631,19.582,19.34,19.635,19.504,19.504,17.775
9c,21.767,18.99,18.814,18.878,19.061,18.814,17.184
9d,21.592,18.145,17.931,18.202,18.14,18.14,16.125
10a,12.181,12.292,18.571,12.239,12.229,12.229,19.928
10b,12.44,12.732,12.457,12.413,12.384,12.457,12.935
10c,12.669,11.032,13.591,12.75,12.822,12.822,11.104
17a,17.065,16.958,17.097,17.109,17.848,17.097,15.445
17b,16.438,16.493,17.735,20.519,16.612,17.735,21.805
17c,16.586,18.763,16.573,18.38,16.592,16.573,16.067
17d,16.524,16.554,19.243,16.555,16.505,19.243,16.067
17e,17.252,17.214,19.387,17.239,17.206,19.387,15.444
17f,17.32,17.143,21.1,17.33,16.964,21.1,19.096
18a,14.921,14.782,14.873,14.89,14.807,14.873,16.131
18b,15.213,15.361,15.464,15.671,15.746,15.464,15.249
18c,14.79,14.785,14.973,14.806,14.821,14.973,22.547
32a,6.599,6.781,6.554,6.66,6.571,6.554,6.012
32b,6.833,6.803,6.808,6.832,6.917,6.808,6.181
7a,19.863,19.84,20.601,25.985,19.832,20.601,20.358
7b,24.651,19.847,19.956,23.347,21.139,19.956,26.52
7c,21.432,17.07,19.969,17.172,18.167,19.969,20.501
11a,19.365,19.362,22.327,19.388,19.362,22.327,17.39
11b,20.195,20.023,20.026,20.23,19.988,20.026,16.038
11c,18.468,18.258,18.569,18.353,18.23,18.569,17.726
11d,18.728,18.353,18.472,18.3,18.137,18.472,23.774
12a,18.955,19.042,22.522,19.008,18.821,22.522,17.419
12b,16.711,16.804,20.146,16.685,16.641,20.146,16.061
12c,18.625,18.659,18.833,18.432,18.739,18.833,17.493
13a,17.92,17.878,17.952,17.934,18.063,17.952,19.283
13b,18.168,22.196,18.013,18.015,17.983,18.013,18.737
13c,18.048,18.24,22.165,17.986,17.821,22.165,18.809
13d,18.378,20.614,19.602,18.308,18.28,19.602,19.226
14a,17.319,17.485,17.304,17.4,17.241,17.304,17.372
14b,17.475,17.068,20.286,17.054,17.355,17.355,21.832
14c,17.374,23.233,17.429,17.329,17.338,17.429,17.263
15a,22.462,22.739,22.562,22.573,22.568,22.568,22.462
15b,22.794,22.885,24.698,22.964,22.811,22.811,23.1
15c,21.855,21.688,28.238,21.669,21.522,21.522,21.99
15d,21.365,21.484,21.735,21.283,21.409,21.735,21.553
16a,22.268,22.794,22.006,21.948,26.409,22.006,22.461
16b,21.809,21.855,21.783,21.663,21.952,21.783,20.069
16c,21.897,21.664,22.021,21.728,22.468,22.021,20.047
16d,25.106,21.583,22.015,21.676,21.8,22.015,20.705
19a,23.182,30.026,26.137,22.887,23.95,26.137,22.768
19b,23.362,25.015,23.123,22.984,23.289,23.123,22.946
19c,24.175,30.391,26.576,24.06,24.138,26.576,23.958
19d,22.634,23.652,22.418,22.035,22.222,22.222,23.049
20a,20.598,24.328,20.762,20.872,20.751,20.762,24.061
20b,21.236,23.786,21.845,21.324,21.163,21.845,22.075
20c,21.757,21.987,21.589,21.969,21.701,21.589,25.734
21a,25.476,29.695,25.76,25.815,25.63,25.76,23.874
21b,25.565,27.856,25.49,25.534,25.532,25.49,23.85
21c,25.357,27.169,28.257,27.699,25.157,28.257,26.919
22a,26.635,28.794,26.814,26.796,26.755,26.755,26.643
22b,26.942,35.163,26.63,26.842,26.777,26.777,31.602
22c,26.759,26.989,26.988,26.972,27.125,26.988,30.191
22d,26.383,26.637,26.951,26.704,26.626,26.951,32.222
23a,26.413,26.44,26.8,26.499,26.629,26.8,30.597
23b,26.774,26.767,26.886,26.668,26.546,26.886,34.946
23c,26.327,29.139,26.781,26.31,26.434,26.781,27.826
24a,31.253,31.221,31.452,31.215,31.217,31.217,31.623
24b,29.885,30.271,30.532,29.778,29.977,30.532,29.95
25a,21.746,22.208,21.952,21.683,21.794,21.952,22.333
25b,22.933,22.815,21.821,20.592,20.635,21.821,20.466
25c,21.642,22.506,23.053,21.587,21.596,23.053,22.271
26a,28.232,28.39,32.489,28.632,28.367,32.489,28.3
26b,28.324,28.044,31.352,28.251,28.355,28.355,29.961
26c,29.247,29.196,29.388,31.721,29.41,29.388,30.209
33a,37.991,37.805,38.058,37.799,37.115,38.058,38.42
33b,39.871,38.22,40.123,43.048,37.141,37.141,38.107
33c,42.672,36.624,36.963,36.665,36.703,36.963,37.956
27a,35.887,35.867,38.058,36.236,35.718,35.718,33.461
27b,36.43,35.872,39.977,36.366,35.644,35.644,33.871
27c,35.938,35.799,38.006,35.728,35.434,38.006,33.926
28a,36.836,36.84,40.571,36.783,36.81,40.571,36.587
28b,36.922,38.038,40.027,36.062,36.553,40.027,36.379
28c,36.855,44.597,37.388,36.757,36.801,37.388,36.716
29a,51.896,51.557,49.562,48.712,49.52,49.562,50.092
29b,52.118,49.345,49.03,49.195,48.61,49.03,49.313
29c,52.363,52.302,55.906,52.441,51.832,55.906,52.573
30a,30.869,30.472,33.964,30.651,30.718,33.964,37.324
30b,29.157,29.359,30.45,29.226,29.441,30.45,29.334
30c,30.858,30.722,31.084,30.58,30.877,31.084,37.055
31a,29.47,29.751,33.509,29.789,29.397,33.509,30.824
31b,30.984,35.619,31.026,34.174,30.834,31.026,30.881
31c,29.1,33.194,28.944,31.32,29.053,28.944,30.382
