query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,0.732272,0.714059,0.697173,0.722916,0.715215,0.697173,0.7295
1b,0.905464,0.9013869999999999,0.887107,0.901079,0.859172,0.887107,0.887325
1c,1.096114,1.025541,1.044943,1.07424,1.097667,1.044943,1.079432
1d,0.9122129999999999,0.88687,0.896833,0.926387,0.928591,0.896833,0.903254
2a,2.201491,1.950224,2.251054,1.9415930000000001,2.1993159999999996,2.251054,2.140006
2b,2.198145,1.9449480000000001,2.193243,1.956223,2.1843049999999997,2.193243,2.138898
2c,2.1622179999999998,2.167463,2.135048,2.163313,2.148837,2.135048,2.226025
2d,2.2225520000000003,2.225446,2.173105,2.245406,2.2309200000000002,2.173105,2.3258550000000002
3a,1.922955,1.8844,1.867345,1.919737,1.9073710000000001,1.867345,1.938296
3b,1.259403,1.234224,1.209859,1.2484549999999999,1.229417,1.209859,1.286932
3c,2.304761,2.25821,2.279711,2.2749639999999998,2.263933,2.279711,2.2989119999999996
4a,0.884255,0.926944,0.845241,0.9422240000000001,0.923914,0.845241,0.977851
4b,0.781361,0.784432,0.7825270000000001,0.798215,0.755817,0.7825270000000001,0.830773
4c,0.990906,0.9930760000000001,0.95335,0.97624,1.009784,0.95335,1.057983
5a,1.2568620000000001,1.4704929999999998,1.454471,1.445796,1.454102,1.454471,1.451595
5b,1.8506120000000001,1.859607,1.850412,1.860376,1.831394,1.850412,1.854875
5c,1.995155,1.986213,1.976176,1.965006,1.964125,1.976176,1.964307
6a,8.790016,8.469949,8.784351000000001,8.784218999999998,8.723321,8.784351000000001,9.195295
6b,9.392323000000001,9.276881,9.337188,9.40709,9.4512,9.337188,10.056509
6c,9.884507,9.689851,9.318657,9.612264999999999,9.729158,9.318657,10.211798
6d,8.907678,8.797471999999999,8.788110000000001,8.48892,8.790617000000001,8.788110000000001,9.308959000000002
6e,8.873993,8.810949,8.799783,8.806533,8.757602,8.799783,9.326183
6f,9.014344,8.974937,8.763606,8.936131,8.676051,8.763606,8.950802
8a,2.4912069999999997,2.4817069999999997,2.3663510000000003,2.360751,2.435743,2.435743,2.44282
8b,6.585958,6.538157,6.543154,6.577694999999999,6.5635959999999995,6.5635959999999995,7.906996
8c,5.125067,5.122845999999999,5.119252,5.563387,5.529565,5.119252,10.717763999999999
8d,3.7789810000000004,3.348795,3.727418,3.8175689999999998,3.7910630000000003,3.727418,8.737694
9a,2.7760610000000003,2.759819,2.649784,2.803496,2.6350610000000003,2.6350610000000003,2.758514
9b,2.911069,2.8630479999999996,2.8334099999999998,2.9141909999999998,2.826496,2.826496,2.9157539999999997
9c,3.234063,3.1490929999999997,3.144047,3.125921,3.1245079999999996,3.144047,3.222753
9d,4.472875,4.4406170000000005,4.439559,6.096386000000001,4.411379,4.439559,4.5848450000000005
