query complexity,exhaustive,kruskal,prim,ensemble,goo
Simple,249.515865,246.71870099999998,248.248202,250.170631,247.15229499999998
Moderate,364.3339829999999,358.785589,364.80721000000005,355.973387,368.11157000000003
Complex,113.100304,118.18653499999999,116.54392,115.80116899999999,109.145978
TOTAL,726.9501519999999,723.6908249999999,729.599332,721.9451869999999,724.409843
