query complexity,exhaustive,kruskal,prim,ensemble,goo
Simple,1.0,1.5012398518376735,2.0215241017080148,1.4899613951742703,2.2644672621464097
Moderate,1.0,1.14333894976243,1.1581981258938878,1.128608782384497,5.890395372072467
Complex,1.0,7.343784916632129,1.0357871220924944,7.3412473476092535,36.71602442184069
TOTAL,1.0,1.5787818258289594,1.6316256428562517,1.5664297247562848,5.061778731026666
