query complexity,exhaustive,kruskal,prim,ensemble,goo
Simple,8.146729999999998,24.33069,23.37762,51.41779,23.93861
Moderate,110.28148,28.35085000000001,28.483709999999995,63.886910000000015,28.4324
Complex,40059050.30091,8.162799999999999,8.056160000000002,18.18623,7.866
TOTAL,40059168.72912,60.84434000000001,59.91749,133.49093000000002,60.23701
