query complexity,exhaustive,kruskal,prim,ensemble,goo
Simple,218.84004299999998,189.59171199999997,190.064717,192.251126,232.54073599999998
Moderate,320.30676200000005,332.131291,326.76020199999994,325.10481400000003,350.898434
Complex,113.601005,118.008457,121.598647,115.712632,114.54269199999999
TOTAL,652.7478100000001,639.73146,638.4235659999999,633.068572,697.981862
