query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,158897.2,215927.2,215927.2,215927.2,215927.2,215927.2,215927.2
1b,276174.4,276174.4,276174.4,276174.4,276174.4,276174.4,276174.4
1c,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999
1d,276199.40000000026,276199.4,276199.4,276199.4,276199.4,276199.4,276199.4
2a,1278963.2000000002,1974253.0,1346975.2000000002,4147110.0,1346975.2000000002,1346975.2000000002,4147110.0
2b,1262223.2000000002,1687559.0,1335447.2000000002,3859343.0,1335447.2000000002,1335447.2000000002,3859343.0
2c,525586.6000000004,526354.6,526354.6,526354.6,526354.6,526354.6,526354.6
2d,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003
3a,769885.4,769885.4,769885.4,769885.4,769885.4,769885.4,769885.4
3b,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001
3c,959422.9999999998,968001.0,968001.0,968001.0,968001.0,968001.0,968001.0
4a,43624.4,43624.4,43624.4,43624.4,43624.4,43624.4,43624.4
4b,1036.2,1036.2,1036.2,1036.2,1036.2,1036.2,1036.2
4c,9295.6,9295.6,9295.6,9295.6,9295.6,9295.6,9295.6
5a,600320.2,600732.2,600732.2,600732.2,600732.2,600732.2,600732.2
5b,92478.19999999995,94350.80000000002,94350.80000000002,94350.80000000002,94350.80000000002,94350.80000000002,94350.80000000002
5c,63707.400000000045,63729.4,63729.4,63729.4,63729.4,63729.4,63729.4
6a,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001
6b,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001
6c,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001
6d,2582484.0,2582484.0,2582484.0,2582484.0,2582484.0,2582484.0,2582484.0
6e,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001
6f,4153347.6,4153347.6,4153347.6,4153347.6,4153347.6,4153347.6,4153347.6
8a,46111.39999999991,46113.399999999994,46113.399999999994,46111.399999999994,46111.399999999994,46111.399999999994,47937.399999999994
8b,2030.4000000000233,2066.4,2066.4,2030.4,2030.4,2030.4,2637.3999999999996
8c,23392707.199999996,23392707.2,23392707.2,55292031.0,33194444.000000004,23392707.2,54258125.0
8d,10872370.4,15464097.2,10872370.4,46279552.4,10987244.4,10872370.4,46279552.4
9a,185297.2,187199.2,187199.2,187045.2,186815.2,186815.2,187199.2
9b,151022.60000000003,152397.6,152397.6,152291.6,151657.6,151657.6,152397.6
9c,339418.79999999964,365055.80000000005,365055.80000000005,365055.80000000005,365055.80000000005,365055.80000000005,394169.80000000005
9d,3676867.8,4163177.8000000003,4163177.8000000003,4173023.8000000003,4173023.8000000003,4163177.8000000003,5988977.8
10a,115144.79999999981,166286.8,166286.8,166286.8,166286.8,166286.8,166286.8
10b,622030.9999999981,629562.0,629562.0,629562.0,629562.0,629562.0,677722.0
10c,8186001.0,9696195.799999999,9333642.0,10797272.799999999,8941627.0,8941627.0,9696195.799999999
17a,6209274.800000003,8229085.000000001,8229085.000000001,8229085.000000001,8229085.000000001,8229085.000000001,14745605.799999999
17b,3295972.000000003,9386360.8,9302740.8,16914576.8,16914576.8,9302740.8,12664564.8
17c,3035032.000000003,8903498.8,8356740.800000001,16823976.8,9281095.8,8356740.800000001,12473188.8
17d,3081740.400000003,8987761.2,8850523.2,16836659.2,12689936.2,8850523.2,12505111.2
17e,10832262.600000001,12827758.8,12827758.8,12827758.8,12827758.8,12827758.8,28196519.8
17f,7080202.600000003,15636797.2,15636797.2,18576041.2,18576041.2,15636797.2,15616533.6
18a,683551.0000000007,696169.0,696169.0,696169.0,696169.0,696169.0,1200757.0
18b,10816.000000000047,10916.0,10916.0,10916.0,10916.0,10916.0,10916.0
18c,1036993.5999999999,1071377.6,1071377.6,1071377.6,1071377.6,1071377.6,1444851.5999999999
32a,672462.6,732450.6,732450.6,732450.6,732450.6,732450.6,732450.6
32b,685561.2,736779.2,736779.2,736779.2,736779.2,736779.2,736779.2
7a,775296.7999999943,1043452.8,944481.8,1289685.8,1289685.8,944481.8,1444053.8
7b,164075.99999999377,176595.0,176595.0,176595.0,176595.0,176595.0,236058.0
7c,2721365.599999998,3051055.6,3051055.6,9196010.8,4617437.600000001,3051055.6,10701185.2
11a,40349.2,41993.2,41993.2,41993.2,41993.2,41993.2,40935.2
11b,6233.2,6303.2,6303.2,6303.2,6303.2,6303.2,6296.2
11c,661808.0,1290319.0,1067610.0000000002,1891289.0,1039073.0000000001,1039073.0000000001,1891289.0
11d,620238.8000000002,678666.7999999999,678666.7999999999,678666.7999999999,678666.7999999999,678666.7999999999,871816.7999999999
12a,12875.200000000048,13103.2,13103.2,13103.2,13103.2,13103.2,25815.2
12b,276627.8000000002,278636.80000000005,278636.80000000005,278636.80000000005,278636.80000000005,278636.80000000005,278613.80000000005
12c,82307.7999999999,85935.8,85935.8,85935.8,85935.8,85935.8,142064.80000000002
13a,2187548.599999999,2187548.6,2187548.6,2187548.6,2187548.6,2187548.6,3161625.6000000006
13b,7316.400000000186,7316.4,7316.4,7316.4,7316.4,7316.4,7652.4
13c,1134.6000000003726,1134.6000000000001,1134.6000000000001,1134.6000000000001,1134.6000000000001,1134.6000000000001,1242.6000000000001
13d,10586346.199999984,10623717.200000001,10623717.200000001,11903582.2,11903582.2,10623717.200000001,11866211.2
14a,7184.199999999628,11120.400000000001,11120.400000000001,11120.400000000001,11120.400000000001,11120.400000000001,34654.399999999994
14b,1588.199999999581,2191.2,2191.2,1594.2,1594.2,1594.2,2191.2
14c,21349.599999999904,22714.6,22714.6,22714.6,22714.6,22714.6,34698.6
15a,7544.200000000373,7563.2,7563.2,11776.2,11736.2,7563.2,9701.199999999999
15b,6054.600000000559,6064.599999999999,6064.599999999999,6270.4,6270.4,6064.599999999999,8158.4
15c,16919.59999999702,17035.6,17035.6,20359.6,17035.6,17035.6,32062.6
15d,90167.8,91391.8,91391.8,111533.8,91391.8,91391.8,300946.39999999997
16a,666242.0,681349.0,681349.0,666242.0,681349.0,681349.0,3815442.6
16b,14202202.200000001,14591036.6,14591036.6,19376036.4,19376036.4,14591036.6,40055030.4
16c,2602231.200000003,2602231.2,2602231.2,2602231.2,2602231.2,2602231.2,4078018.8000000003
16d,2240953.200000003,2240953.2,2240953.2,2240953.2,2240953.2,2240953.2,3330819.8000000003
19a,185179.39999999997,188354.40000000002,188354.40000000002,187624.40000000002,187295.40000000002,187295.40000000002,188205.40000000002
19b,14146.200000000012,14288.400000000001,14288.400000000001,14246.400000000001,14288.400000000001,14288.400000000001,14821.400000000001
19c,311292.0000000001,335782.00000000006,335782.00000000006,335782.00000000006,337764.00000000006,335782.00000000006,411762.00000000006
19d,10903095.399999993,11558661.4,11558661.4,19507697.4,19507697.4,11558661.4,56987917.00000001
20a,2109541.4000000013,2440064.6,2118273.4000000004,3382838.6,2118273.4000000004,2118273.4000000004,93903055.6
20b,1081687.999999994,1411423.0,1411423.0,1411423.0,1411423.0,1411423.0,43613863.0
20c,1508510.3999999939,1593184.4,1593184.4,1593184.4,1593184.4,1593184.4,50505711.4
21a,43169.2,95354.2,95354.2,95354.2,95354.2,95354.2,121039.2
21b,20090.2,24649.2,24649.2,24649.2,24649.2,24649.2,41019.2
21c,52127.2,143732.2,143732.2,143732.2,143732.2,143732.2,139424.2
22a,52013.60000000037,69441.40000000001,69441.40000000001,78804.40000000001,74669.4,69441.40000000001,88917.40000000001
22b,49253.39999999979,68701.00000000001,68701.00000000001,77484.40000000001,73929.0,68701.00000000001,88913.00000000001
22c,11920.400000000373,14001.4,14001.4,17665.399999999998,16330.4,14001.4,16718.4
22d,23356.39999999852,76027.40000000001,76027.40000000001,76027.40000000001,76027.40000000001,76027.40000000001,174851.40000000002
23a,8238.999999995343,8239.0,8239.0,10675.0,8239.0,8239.0,11954.0
23b,6982.39999999702,6982.4,6982.4,9421.399999999998,6982.4,6982.4,10055.399999999998
23c,8288.599999996834,8288.6,8288.6,12044.6,8288.6,8288.6,12017.599999999999
24a,262219.60000000015,350313.60000000003,350313.60000000003,350313.60000000003,349833.60000000003,349833.60000000003,1947090.4000000001
24b,61229.19999999999,62577.19999999999,62577.19999999999,62525.19999999999,62525.19999999999,62525.19999999999,114132.2
25a,433571.5999999996,441289.60000000003,441289.60000000003,441289.60000000003,441289.60000000003,441289.60000000003,3541858.6
25b,6443.2,6462.2,6462.2,6478.2,6462.2,6462.2,6835.2
25c,1510211.7999999996,2107112.0,1541654.7999999998,2971451.0,1667561.7999999998,1541654.7999999998,18172764.799999997
26a,106701.20000000446,108734.2,108734.2,121022.2,122022.2,108734.2,9767110.2
26b,19120.3999999851,69583.40000000001,69583.40000000001,72769.40000000001,73765.40000000001,69583.40000000001,5023025.800000001
26c,1517198.599999997,1618189.5999999999,1618189.5999999999,1618189.5999999999,1618189.5999999999,1618189.5999999999,151583339.79999998
33a,12816.399999999907,14799.400000000003,14799.400000000003,14799.400000000003,12891.400000000003,12891.400000000003,91953.4
33b,13175.399999999441,17534.600000000002,17534.600000000002,18024.600000000002,13722.600000000002,13722.600000000002,57128.59999999999
33c,26202.800000000745,74912.8,74912.8,74912.8,73016.8,73016.8,117114.79999999999
27a,20529.79999999986,35914.799999999996,35914.799999999996,41664.8,35914.799999999996,35914.799999999996,122486.79999999999
27b,15229.799999999861,20643.8,20643.8,24943.800000000003,20643.8,20643.8,91894.4
27c,23324.79999999986,53686.8,53686.8,57726.8,53686.8,53686.8,222686.2
28a,10951.200000000721,46588.2,46588.2,52731.2,52002.2,46588.2,183829.2
28b,46580.80000000035,53795.399999999994,51244.19999999999,50246.799999999996,53549.19999999999,51244.19999999999,123420.4
28c,8291.400000000722,9320.8,9320.8,13621.800000000001,13287.800000000001,9320.8,35006.4
29a,28964.0,45983.8,45983.8,45983.8,45983.8,45983.8,6659612.2
29b,28964.0,35711.4,35711.4,35711.4,35711.4,35711.4,3604174.0000000005
29c,29285.400000002235,386549.4,386549.4,377307.4,377279.4,377279.4,48886480.00000001
30a,178502.59999999954,214991.00000000003,214991.00000000003,218407.00000000003,218407.00000000003,214991.00000000003,3070121.6
30b,16508.399999997207,17674.4,17674.4,17810.4,17674.4,17674.4,29324.4
30c,870430.3999999982,880821.4,880821.4,870432.4,874428.4,874428.4,11966549.199999997
31a,612316.2000000008,715489.2000000001,631770.6,715489.2000000001,632644.6,631770.6,80721143.40000002
31b,4328.999999999441,7697.0,7697.0,7697.0,7697.0,7697.0,45234.99999999999
31c,686955.5999999981,2094063.7999999998,760178.6,2318323.9999999995,761866.6,760178.6,238815988.60000002
