query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,0.17088,0.51352,0.52114,0.52561,0.51548,1.03662,0.51909
1b,0.18882,0.52935,0.53926,0.52285,0.5321,1.0713599999999999,0.54183
1c,0.17574,0.52773,0.53232,0.51605,0.53539,1.06771,0.5307
1d,0.17114,0.53551,0.53461,0.52095,0.53194,1.0665499999999999,0.53953
2a,0.16895,0.51581,0.51496,0.5294,0.52172,1.03668,0.5172
2b,0.17402,0.52828,0.53146,0.51065,0.52552,1.05698,0.52903
2c,0.16477,0.53183,0.54611,0.51908,0.52675,1.07286,0.54237
2d,0.1808,0.54768,0.54186,0.51439,0.53722,1.07908,0.58252
3a,0.17521,0.54541,0.54998,0.5172,0.57828,1.12826,0.54743
3b,0.16711,0.53057,0.52822,0.4978,0.56084,1.08906,0.57615
3c,0.16446,0.53927,0.54175,0.51308,0.53889,1.0806399999999998,0.55595
4a,0.17108,0.54356,0.53317,0.51004,0.52896,1.06213,0.54984
4b,0.16412,0.53549,0.5556,0.52476,0.5357,1.0913,0.54607
4c,0.16683,0.53043,0.52512,0.49462,0.50844,1.03356,0.5283
5a,0.17225,0.53998,0.54898,0.50719,0.52334,1.07232,0.53396
5b,0.16824,0.5471,0.54072,0.51253,0.51827,1.05899,0.54304
5c,0.18414,0.54757,0.5562,0.51776,0.53134,1.0875400000000002,0.54928
6a,0.16895,0.53638,0.52839,0.49643,0.52275,1.0511400000000002,0.53391
6b,0.16264,0.54435,0.52905,0.51534,0.53257,1.06162,0.53303
6c,0.16452,0.54344,0.54856,0.51535,0.53324,1.0818,0.53231
6d,0.17219,0.54734,0.52761,0.52229,0.53976,1.06737,0.5558
6e,0.16757,0.52471,0.53442,0.49713,0.5242,1.05862,0.52759
6f,0.1652,0.53745,0.52911,0.50749,0.53214,1.0612499999999998,0.55148
8a,0.17261,0.53952,0.54733,0.50926,0.52935,1.60603,0.54789
8b,0.1699,0.5457,0.56042,0.5176,0.5413,1.64302,0.54993
8c,0.20027,0.55165,0.61588,0.51378,0.5453,1.1611799999999999,0.54496
8d,0.1929,0.52888,0.5755,0.49773,0.51372,1.08922,0.53673
9a,0.22098,0.54463,0.57825,0.50472,0.53377,1.6457899999999999,0.5382
9b,0.20189,0.54554,0.54164,0.51675,0.53267,1.60698,0.55397
9c,0.24068,0.55279,0.5441,0.51626,0.53961,1.08371,0.56114
9d,0.2702,0.53724,0.53334,0.49805,0.52585,1.05919,0.53498
10a,0.17037,0.60337,0.52843,0.51811,0.53585,1.0642800000000001,0.54535
10b,0.17224,0.57867,0.53926,0.51827,0.52506,1.06432,0.54148
10c,0.18599,0.5555,0.53455,0.51669,0.54735,1.62925,0.54044
17a,0.17757,0.52213,0.53398,0.49896,0.52868,1.0626600000000002,0.53501
17b,0.1782,0.55857,0.52142,0.50939,0.53345,1.05487,0.53902
17c,0.17155,0.54223,0.53916,0.51521,0.53533,1.07449,0.5649
17d,0.16963,0.54694,0.53335,0.52057,0.53537,1.06872,0.56561
17e,0.19414,0.5448,0.53944,0.51688,0.53777,1.07721,0.56022
17f,0.17528,0.52608,0.51703,0.49806,0.51006,1.0270899999999998,0.5463
18a,0.17294,0.54728,0.53591,0.51138,0.53072,1.06663,0.55514
18b,0.18521,0.56272,0.54398,0.52097,0.53782,1.0817999999999999,0.55112
18c,0.17923,0.54726,0.55003,0.51892,0.53952,1.08955,0.55394
32a,0.17377,0.54247,0.51507,0.51175,0.52681,1.04188,0.52563
32b,0.17718,0.55177,0.52909,0.50862,0.53211,1.0612,0.54652
7a,0.2234,0.55368,0.53473,0.51468,0.53956,1.07429,0.54675
7b,0.18637,0.55292,0.5807,0.51687,0.54733,1.1280299999999999,0.55822
7c,0.24269,0.5351,0.52099,0.49921,0.52181,1.0428,0.53723
11a,0.16692,0.55694,0.5384,0.50982,0.53827,1.07667,0.54343
11b,0.17456,0.55111,0.53863,0.51779,0.53404,1.07267,0.55668
11c,0.18474,0.5495,0.55173,0.51496,0.53862,1.6289699999999998,0.55132
11d,0.18721,0.56038,0.56873,0.51836,0.54334,1.1120700000000001,0.55437
12a,0.19281,0.52896,0.51541,0.501,0.53831,1.05372,0.54618
12b,0.17374,0.55681,0.5502,0.51354,0.5367,1.0869,0.54743
12c,0.18037,0.55655,0.53778,0.51669,0.5459,1.0836800000000002,0.55042
13a,0.24805,0.60101,0.55514,0.52063,0.53644,1.09158,0.54079
13b,0.17921,0.53645,0.53455,0.5557,0.51541,1.04996,0.535
13c,0.18694,0.54156,0.54207,0.55588,0.53994,1.08201,0.55838
13d,0.83039,0.5439,0.55234,0.53591,0.54182,1.09416,0.52899
14a,0.18104,0.60039,0.54216,0.54032,0.53316,1.07532,0.54997
14b,0.17922,0.53104,0.53453,0.51548,0.52828,1.59109,0.5253
14c,0.20386,0.53125,0.53214,0.5135,0.53419,1.06633,0.54402
15a,0.58161,0.5492,0.53905,0.51131,0.53484,1.07389,0.55012
15b,0.44625,0.56049,0.56092,0.51693,0.53699,1.09791,0.55316
15c,0.60573,0.53777,0.53391,0.49508,0.53075,1.06466,0.53735
15d,0.3519,0.5465,0.53127,0.51032,0.53784,1.06911,0.55901
16a,0.19083,0.53626,0.53485,0.5083,0.53744,1.0722900000000002,0.5516
16b,0.37671,0.54481,0.54485,0.58054,0.53883,1.08368,0.5483
16c,0.20555,0.55901,0.56747,0.51687,0.54959,1.11706,0.55017
16d,0.20164,0.53479,0.52305,0.4962,0.51805,1.0411000000000001,0.53485
19a,1.97176,0.54362,0.54635,0.51266,0.53879,1.62393,0.54614
19b,0.26313,0.55065,0.54311,0.5122,0.54209,1.0852,0.56755
19c,1.75322,0.56964,0.55108,0.51806,0.56214,1.11322,0.54385
19d,21.52217,0.52648,0.52047,0.50005,0.53201,1.05248,0.52627
20a,0.35174,0.53662,0.53328,0.50984,0.54288,1.07616,0.55816
20b,0.26884,0.55657,0.53317,0.51366,0.53769,1.0708600000000001,0.54292
20c,0.4702,0.55975,0.54539,0.51729,0.54815,1.09354,0.56006
21a,0.21094,0.53746,0.52022,0.49794,0.54205,1.06227,0.53403
21b,0.18585,0.54845,0.5367,0.50956,0.53098,1.06768,0.56229
21c,0.2163,0.55828,0.53356,0.51078,0.5331,1.0666600000000002,0.55416
22a,1.78543,0.55208,0.55413,0.51437,0.54267,1.0968,0.54674
22b,3.4534,0.56299,0.54766,0.51866,0.55575,1.10341,0.56617
22c,1.98335,0.54176,0.52955,0.4972,0.53365,1.0632,0.5472
22d,1.02176,0.56224,0.53875,0.51156,0.55009,1.0888399999999998,0.53586
23a,7.66821,0.5593,0.54652,0.51639,0.54748,1.0939999999999999,0.56204
23b,3.33891,0.55964,0.55048,0.51543,0.54609,1.0965699999999998,0.5577
23c,7.85799,0.53986,0.52574,0.50007,0.51457,1.0403099999999998,0.53117
24a,6.46385,0.5465,0.54595,0.51047,0.53804,1.62203,0.53824
24b,1.50921,0.56528,0.55624,0.51672,0.54658,1.6494,0.56078
25a,0.45391,0.54449,0.53762,0.5191,0.55187,1.08949,0.52825
25b,0.27253,0.52752,0.52269,0.51324,0.52512,1.0478100000000001,0.50984
25c,1.04647,0.55465,0.53176,0.51335,0.53239,1.0641500000000002,0.50993
26a,6.48503,0.5629,0.54331,0.51298,0.54284,1.08615,0.51503
26b,3.38242,0.56068,0.54508,0.5166,0.55105,1.09613,0.5206
26c,14.39921,0.54152,0.53049,0.49585,0.52509,1.05558,0.50241
33a,11.74382,0.54719,0.54692,0.50732,0.5439,1.63472,0.52362
33b,0.89177,0.55872,0.55225,0.51172,0.54752,1.64729,0.55122
33c,7.48699,0.55817,0.56436,0.51743,0.55066,1.66568,0.55648
27a,5.96653,0.5659,0.55922,0.52233,0.5734,1.1326200000000002,0.55768
27b,2.30077,0.53997,0.53906,0.50037,0.52573,1.06479,0.55146
27c,6.59391,0.5517,0.54557,0.51264,0.5447,1.0902699999999999,0.55082
28a,4359.83969,0.56088,0.56613,0.517,0.55996,1.12609,0.55063
28b,548.96448,0.55779,0.57654,0.51839,0.56269,1.13923,0.57648
28c,65.05267,0.5394,0.54908,0.49971,0.52554,1.07462,0.54688
29a,108476.59999999852,0.54379,0.58705,0.50955,0.5487,1.1357499999999998,0.53547
29b,101941.99999999814,0.5354,0.58767,0.51691,0.56494,1.1526100000000001,0.5157
29c,169340.39999999554,0.55928,0.61042,0.51849,0.55626,1.72294,0.52319
30a,99.14716,0.54045,0.53215,0.49871,0.53028,1.06243,0.50243
30b,24.96495,0.54712,0.54415,0.50693,0.54306,1.08721,0.51144
30c,554.20362,0.55143,0.56203,0.5189,0.54612,1.6542700000000004,0.51522
31a,5.94214,0.5606,0.54904,0.51465,0.54329,1.09233,0.52456
31b,16.88619,0.5558,0.56613,0.52206,0.55437,1.1205,0.52077
31c,9.90542,0.53867,0.53465,0.49554,0.53701,1.07166,0.49923
